mrid,name
100244,ESP ADJ 1981
100245,ESP ADJ 1982
100246,ESP ADJ 1983
100247,ESP ADJ 1984
100248,ESP ADJ 1985
100249,ESP ADJ 1986
100250,ESP ADJ 1987
100251,ESP ADJ 1988
100252,ESP ADJ 1989
100253,ESP ADJ 1990
100254,ESP ADJ 1991
100255,ESP ADJ 1992
100256,ESP ADJ 1993
100257,ESP ADJ 1994
100258,ESP ADJ 1995
100259,ESP ADJ 1996
100260,ESP ADJ 1997
100261,ESP ADJ 1998
100262,ESP ADJ 1999
100263,ESP ADJ 2000
100264,ESP ADJ 2001
100265,ESP ADJ 2002
100266,ESP ADJ 2003
100267,ESP ADJ 2004
100268,ESP ADJ 2005
100269,ESP ADJ 2006
100270,ESP ADJ 2007
100271,ESP ADJ 2008
100272,ESP ADJ 2009
100273,ESP ADJ 2010
100285,ESP ADJ 2011
100286,ESP ADJ 2012
100287,ESP ADJ 2013
100288,ESP ADJ 2014
100289,ESP ADJ 2015
100274,ESP ADJ 90percent
100275,ESP ADJ 10percent
100276,ESP ADJ 50percent
100343,ESP ADJ 30percent
100344,ESP ADJ 70percent
100211,ESP RAW 1981
100212,ESP RAW 1982
100213,ESP RAW 1983
100214,ESP RAW 1984
100215,ESP RAW 1985
100216,ESP RAW 1986
100217,ESP RAW 1987
100218,ESP RAW 1988
100219,ESP RAW 1989
100220,ESP RAW 1990
100221,ESP RAW 1991
100222,ESP RAW 1992
100223,ESP RAW 1993
100224,ESP RAW 1994
100225,ESP RAW 1995
100226,ESP RAW 1996
100227,ESP RAW 1997
100228,ESP RAW 1998
100229,ESP RAW 1999
100230,ESP RAW 2000
100231,ESP RAW 2001
100232,ESP RAW 2002
100233,ESP RAW 2003
100234,ESP RAW 2004
100235,ESP RAW 2005
100236,ESP RAW 2006
100237,ESP RAW 2007
100238,ESP RAW 2008
100239,ESP RAW 2009
100240,ESP RAW 2010
100277,ESP RAW 2011
100278,ESP RAW 2012
100279,ESP RAW 2013
100280,ESP RAW 2014
100281,ESP RAW 2015
100241,ESP RAW 90percent
100242,ESP RAW 10percent
100243,ESP RAW 50percent
100341,ESP RAW 30percent
100342,ESP RAW 70percent
100346,ESP RAW 2016
100347,ESP RAW 2017
100348,ESP RAW 2018
100349,ESP RAW 2019
100350,ESP RAW 2020
100351,ESP ADJ 2016
100352,ESP ADJ 2017
100353,ESP ADJ 2018
100354,ESP ADJ 2019
100355,ESP ADJ 2020
